dN/dS,LRT,p-value,Log(L)
3.17603086687411e-16,20.06250923401331,3.747582778823588e-06,-50.93375375012629
3.17603086687411e-16,20.81326427488843,2.531554339768594e-06,-24.51091252928257
3.17603086687411e-16,20.06250923560243,3.747582775714964e-06,-58.41768604178933
3.17603086687411e-16,20.06250933161863,3.747582587587672e-06,-13.45096056537825
9.682324783204268e-17,20.06250532163445,3.747590445579707e-06,-57.99106054158418
9.555848176237971e-17,20.06250502818622,3.747591020619723e-06,-63.13419467028578
0.09919816184155789,13.46892980946959,0.0001212733075035555,-83.74380894658236
5.840566125974614e-16,20.06250528734323,3.7475905127482e-06,-18.89814908816835
5.840566125974614e-16,20.81433873756079,2.530134510458915e-06,-32.92250510216981
2.731941657024047e-16,20.81584942979289,2.528139585122879e-06,-17.08589706586374
9.555848176237971e-17,20.06249891637493,3.747602997428157e-06,-22.19906775073046
2.731941657024047e-16,20.81290764427782,2.5320257795447e-06,-24.80444452904596
5.840566125974614e-16,20.06249847554476,3.747603861237181e-06,-34.90936249266113
0.09935579089461534,13.44071473587267,0.0001231108988510865,-54.1595446279222
5.840566125974614e-16,20.0625093229711,3.747582604518573e-06,-43.34793004459137
9.555848176237971e-17,20.81505579578901,2.529187411504097e-06,-21.83238370502224
0.4920641248745795,3.851949583287791,0.02484410133638754,-83.66983039478971
9.682324783204268e-17,20.81301621904777,2.531882242251537e-06,-35.72735486161442
0.08580823162736802,16.31390535903066,2.68343392800241e-05,-30.56826205895764
9.555848176237971e-17,20.81488404371587,2.529414231233762e-06,-16.00299658416694
0.09947841466166694,13.41854903853263,0.0001245741689362978,-48.22620889980762
0.6191478750179444,1.887968700067802,0.08471560510842663,-66.1354433863354
0.19925589867345,9.566865910619953,0.0009906036228359283,-32.91600450429026
2.287852447174094e-16,20.80944277245237,2.536610678061102e-06,-54.7773803475071
3.17603086687411e-16,20.813482736079,2.531265593408438e-06,-30.87049001789081
0.5202838905018583,3.201341256242145,0.0367889526027233,-61.05619822766832
0.09583427259161191,14.10319729889147,8.652469170677968e-05,-37.54177673561009
3.17603086687411e-16,20.81459965948407,2.529789840499674e-06,-26.28152010171896
5.840566125974614e-16,20.06250380976577,3.747593408265359e-06,-38.08636948656029
0.1635763503052468,13.14923765192172,0.0001438181240447367,-44.96884762408484
